country,mean_bmi,year,ci_lower,ci_higher
Afghanistan,23.4,2016,22,24.8
Albania,26.7,2016,25.8,27.5
Algeria,25.5,2016,24.5,26.5
Andorra,26.7,2016,24.6,28.7
Angola,23.3,2016,21.2,25.6
Antigua and Barbuda,26.7,2016,24.6,28.8
Argentina,27.7,2016,26.8,28.6
Armenia,26.3,2016,25.8,26.9
Australia,27.1,2016,26.6,27.6
Austria,25.6,2016,24.3,26.8
Azerbaijan,27.1,2016,26,28.1
Bahamas,28,2016,25.9,30.1
Bahrain,24.8,2016,23.7,25.8
Bangladesh,21.7,2016,21.2,22.1
Barbados,27.8,2016,27,28.6
Belarus,26.6,2016,26.1,27.2
Belgium,26.1,2016,25.6,26.6
Belize,29.1,2016,27.9,30.2
Benin,23.5,2016,22.8,24.3
Bhutan,23.9,2016,23.3,24.5
Bolivia (Plurinational State of),26.6,2016,25.5,27.6
Bosnia and Herzegovina,25.8,2016,24.9,26.6
Botswana,24.3,2016,23.7,24.9
Brazil,26.6,2016,26.1,27
Brunei Darussalam,27.2,2016,26.7,27.7
Bulgaria,26.4,2016,25.3,27.6
Burkina Faso,22.2,2016,21.6,22.7
Burundi,21.7,2016,20.3,23.1
Cabo Verde,24.5,2016,23.6,25.5
Cambodia,22.2,2016,21.6,22.9
Cameroon,24.3,2016,23.4,25.2
Canada,26.9,2016,26.5,27.4
Central African Republic,22.9,2016,21.6,24.2
Chad,21.9,2016,20.9,22.9
Chile,28,2016,27.2,28.7
China,23.8,2016,23.5,24.2
Colombia,26.2,2016,25.6,26.8
Comoros,24.5,2016,23.8,25.1
Congo,23.2,2016,22.1,24.3
Cook Islands,32.9,2016,32.2,33.6
Costa Rica,27.3,2016,26.7,27.9
Côte d'Ivoire,23.8,2016,22.9,24.6
Croatia,27.4,2016,26.6,28.2
Cuba,25.6,2016,24.9,26.4
Cyprus,26.8,2016,25.5,28.1
Czechia,27.1,2016,26.3,27.9
Democratic People's Republic of Korea,24.1,2016,21.8,26.4
Democratic Republic of the Congo,22,2016,20.9,23
Denmark,25.3,2016,24.7,25.9
Djibouti,24,2016,21.9,26.1
Dominica,27,2016,26,28.1
Dominican Republic,26.5,2016,25.8,27.1
Ecuador,27.3,2016,26.6,28
Egypt,29.6,2016,29.2,30
El Salvador,27.7,2016,26.6,28.8
Equatorial Guinea,24,2016,22.6,25.6
Eritrea,20.7,2016,19.9,21.5
Estonia,26.4,2016,25.9,26.9
Eswatini,26.8,2016,26.2,27.5
Ethiopia,20.6,2016,19.8,21.3
Fiji,27.7,2016,27,28.4
Finland,25.9,2016,25.5,26.4
France,25,2016,24.3,25.8
Gabon,25.2,2016,24.2,26.3
Gambia,24,2016,23.3,24.7
Georgia,27.6,2016,27.1,28.1
Germany,26.6,2016,25.9,27.2
Ghana,23.9,2016,23.4,24.4
Greece,27.1,2016,26.2,28.1
Grenada,27,2016,26.2,27.8
Guatemala,26.6,2016,25.7,27.4
Guinea,22.9,2016,21.9,23.9
